"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"629",629,"1890-1944","https://gallica.bnf.fr/ark:/12148/cb32783482h/date","Lille","Le Grand écho du Nord de la France",17584,"cb32783482h",19708,"1890-09-16","1944-09-01","1890-09-16","1944-09-01",TRUE
"640",640,"1906-1914","https://gallica.bnf.fr/ark:/12148/cb32826708k/date","Paris, Condé sur l'Escaut","Les Nouvelles du Nord et du Pays de Valenciennes ",319,"cb32826708k",1274,"1911-01-01","1914-06-28","1911-01-01","1914-06-28",TRUE
"644",644,"1885-1897","https://gallica.bnf.fr/ark:/12148/cb32887197v/date","Bordeaux","Le Véloce sport ",716,"cb32887197v",4634,"1885-03-05","1897-11-11","1885-03-05","1897-11-11",TRUE
"649",649,"1881","https://gallica.bnf.fr/ark:/12148/cb32836359k/date","Oran","Le Petit fanal ",3375,"cb32836359k",3505,"1881-05-27","1890-12-31","1881-05-27","1890-12-31",TRUE
"661",661,"1904-1944","https://gallica.bnf.fr/ark:/12148/cb34429265b/date","Paris, Clermont Ferrand","L'Œuvre ",10382,"cb34429265b",10569,"1915-09-10","1944-08-17","1915-09-10","1944-08-17",TRUE
"681",681,"1886-1944","https://gallica.bnf.fr/ark:/12148/cb32755951g/date","Brest","La Dépêche de Brest ",22379,"cb32755951g",21395,"1886","1944-07-31","1886-01-01","1944-07-31",TRUE
"685",685,"1908-1944","https://gallica.bnf.fr/ark:/12148/cb326819451/date","Paris","L'Action française ",12936,"cb326819451",13305,"1908-03-21","1944-08-24","1908-03-21","1944-08-24",TRUE
"690",690,"1921-1963","https://gallica.bnf.fr/ark:/12148/cb326846379/date","Paris","Les Ailes ",2218,"cb326846379",15233,"1921-06-23","1963-03-08","1921-06-23","1963-03-08",TRUE
"726",726,"1894-1896","https://gallica.bnf.fr/ark:/12148/cb32707893k/date","Brive","L'Avenir ",123,"cb32707893k",716,"1894-06-14","1896-05-30","1894-06-14","1896-05-30",TRUE
"740",740,"1914-1919","https://gallica.bnf.fr/ark:/12148/cb32717102q/date","Paris","Le Bulletin ardennais ",497,"cb32717102q",1729,"1914-10-04","1919-06-29","1914-10-04","1919-06-29",TRUE
"753",753,"1829-1842","https://gallica.bnf.fr/ark:/12148/cb32734907b/date","Paris","Le Cabinet de lecture ",979,"cb32734907b",4662,"1829-10-04","1842-07-10","1829-10-04","1842-07-10",TRUE
"755",755,"1842-1846","https://gallica.bnf.fr/ark:/12148/cb32734908p/date","Paris","Le Cabinet de lecture",322,"cb32734908p",1629,"1842-07-15","1846-12-30","1842-07-15","1846-12-30",TRUE
"768",768,"1907-1944","https://gallica.bnf.fr/ark:/12148/cb32745939d/date","Paris","Comoedia ",8769,"cb32745939d",13458,"1907-10-01","1944-08-05","1907-10-01","1944-08-05",TRUE
"803",803,"1898-1900","https://gallica.bnf.fr/ark:/12148/cb327553347/date","Rennes","Le Démocrate malouin ",91,"cb327553347",630,"1898-04-24","1900-01-14","1898-04-24","1900-01-14",TRUE
"804",804,"1910-1912","https://gallica.bnf.fr/ark:/12148/cb32755434h/date","Aurillac","La Démocratie cantalienne ",202,"cb32755434h",760,"1910-03","1912-03-30","1910-03-01","1912-03-30",TRUE
"809",809,"1871-1921","https://gallica.bnf.fr/ark:/12148/cb32757974m/date","Paris","Le XIXe siècle ",17672,"cb32757974m",18207,"1871-11-17","1921-09-23","1871-11-17","1921-09-23",TRUE
"817",817,"1909-1911","https://gallica.bnf.fr/ark:/12148/cb327604215/date","Basse Terre","L'Écho de la Guadeloupe ",104,"cb327604215",630,"1910-03-05","1911-11-25","1910-03-05","1911-11-25",TRUE
"818",818,"1892-1896","https://gallica.bnf.fr/ark:/12148/cb32760518j/date","Ussel","L'Écho de la montagne ",388,"cb32760518j",1386,"1892-04-14","1896-01-30","1892-04-14","1896-01-30",TRUE
"829",829,"1904-1908","https://gallica.bnf.fr/ark:/12148/cb32766353z/date","Valenciennes","L'Émancipation ",236,"cb32766353z",1652,"1904-02-21","1908-08-30","1904-02-21","1908-08-30",TRUE
"832",832,"1937-1950","https://gallica.bnf.fr/ark:/12148/cb327682922/date","Paris","L'Époque ",1620,"cb327682922",3620,"1937-02-01","1946-12-31","1937-02-01","1946-12-31",TRUE
"845",845,"1941-1957","https://gallica.bnf.fr/ark:/12148/cb32777201w/date","Paris","Le Franc tireur ",1968,"cb32777201w",2524,"1944-02-01","1950-12-30","1944-02-01","1950-12-30",TRUE
"850",850,"1944-2011","https://gallica.bnf.fr/ark:/12148/cb32778160c/date","Paris, Paris, Groupe Poligrafici Editoriale, Aubervilliers","France soir ",1172,"cb32778160c",1408,"1944-08-22","1948-06-30","1944-08-22","1948-06-30",TRUE
"856",856,"1829-1834","https://gallica.bnf.fr/ark:/12148/cb32780794m/date","Paris, Paris","Gazette des écoles ",360,"cb32780794m",1696,"1829-12-17","1834-08-09","1829-12-17","1834-08-09",TRUE
"858",858,"1859-1885","https://gallica.bnf.fr/ark:/12148/cb32780811c/date","Paris","Gazette des étrangers ",4051,"cb32780811c",9315,"1859-09-10","1885-03-12","1859-09-10","1885-03-12",TRUE
"875",875,"1912-1913","https://gallica.bnf.fr/ark:/12148/cb32780938p/date","Paris","La Gazette des sociétés ",74,"cb32780938p",497,"1912-01-04","1913-05-15","1912-01-04","1913-05-15",TRUE
"879",879,"1929-1939","https://gallica.bnf.fr/ark:/12148/cb40961683p/date","Strassburg","Die Neue Welt ",1830,"cb40961683p",3489,"1929-07-09","1939-01-27","1929-07-09","1939-01-27",TRUE
"880",880,"185.-1896","https://gallica.bnf.fr/ark:/12148/cb328186135/date","Alger","Moniteur de l'Algérie ",5774,"cb328186135",12661,"1862-02-01","1896-10-01","1862-02-01","1896-10-01",TRUE
"883",883,"1898-1944","https://gallica.bnf.fr/ark:/12148/cb32820185x/date","Autun","Le Morvan républicain",4698,"cb32820185x",17023,"1898-01-01","1944-08-11","1898-01-01","1944-08-11",TRUE
"884",884,"1923-1926","https://gallica.bnf.fr/ark:/12148/cb327877275/date","Strasbourg, Strasbourg, Strasbourg","L'Humanité ",898,"cb327877275",1095,"1923-05-01","1926-04-30","1923-05-01","1926-04-30",TRUE
"885",885,"1913-1957","https://gallica.bnf.fr/ark:/12148/cb32787196b/date","Paris","L'Homme libre ",8257,"cb32787196b",10962,"1913-05-05","1943-05-10","1913-05-05","1943-05-10",TRUE
"887",887,"1921-1923","https://gallica.bnf.fr/ark:/12148/cb328230423/date","Strasbourg, Strasbourg","Die Neue Welt ",416,"cb328230423",514,"1921-12-01","1923-04-29","1921-12-01","1923-04-29",TRUE
"897",897,"1891-1910","https://gallica.bnf.fr/ark:/12148/cb327897776/date","Le Blan, Paris","L'Indépendant du Blanc ",1168,"cb327897776",7212,"1891-03-20","1910-12-18","1891-03-20","1910-12-18",TRUE
"899",899,"1891-1893","https://gallica.bnf.fr/ark:/12148/cb327897834/date","Limoges","L'Indépendant du Centre ",214,"cb327897834",750,"1891-07-20","1893-08-08","1891-07-20","1893-08-08",TRUE
"900",900,"1904-1905","https://gallica.bnf.fr/ark:/12148/cb327897954/date","Auch","L'Indépendant du Gers ",124,"cb327897954",469,"1904-08-17","1905-11-29","1904-08-17","1905-11-29",TRUE
"901",901,"1901-1903","https://gallica.bnf.fr/ark:/12148/cb32789854t/date","Besançon","L'Indépendant franc comtois ",567,"cb32789854t",576,"1901-10-01","1903-04-30","1901-10-01","1903-04-30",TRUE
"902",902,"1923-1924","https://gallica.bnf.fr/ark:/12148/cb327943266/date","Paris","L'Italie nouvelle ",1530,"cb327943266",7586,"1923-09-23","1944-06-30","1923-09-23","1944-06-30",TRUE
"908",908,"1805-1814","https://gallica.bnf.fr/ark:/12148/cb32797692j/date","Paris","Journal de l'Empire ",3168,"cb32797692j",3180,"1805-07-16","1814-03-31","1805-07-16","1814-03-31",TRUE
"911",911,"1903-1927","https://gallica.bnf.fr/ark:/12148/cb32798129n/date","Saint Lô","Journal de la Manche et de la Basse Normandie ",2003,"cb32798129n",8477,"1903-12-19","1927-03-05","1903-12-19","1927-03-05",TRUE
"930",930,"1850-1851","https://gallica.bnf.fr/ark:/12148/cb32806662p/date","Fort de France","La Liberté ",147,"cb32806662p",587,"1850-04-18","1851-11-26","1850-04-18","1851-11-26",TRUE
"949",949,"1789-1805","https://gallica.bnf.fr/ark:/12148/cb327995159/date","Paris, Paris, Paris","Journal des débats et des décrets",1991,"cb327995159",2021,"1800-01","1805-07-15","1800-01-01","1805-07-15",TRUE
"950",950,"1902-19..","https://gallica.bnf.fr/ark:/12148/cb32814567v/date","Paris","Mes romans ",143,"cb32814567v",729,"1902","1903","1902-01-01","1903-12-31",TRUE
"958",958,"1903-190.","https://gallica.bnf.fr/ark:/12148/cb32818437m/date","Paris","Le Monde sportif ",283,"cb32818437m",1378,"1903-05-18","1907-02-24","1903-05-18","1907-02-24",TRUE
"959",959,"1831-1836","https://gallica.bnf.fr/ark:/12148/cb32819307n/date","Paris","Le Moniteur du commerce ",492,"cb32819307n",1393,"1831-12-01","1835-09-24","1831-12-01","1835-09-24",TRUE
"962",962,"1830-18..","https://gallica.bnf.fr/ark:/12148/cb328195432/date","Paris","Le Moniteur parisien ",2648,"cb328195432",14625,"1836-12-01","1876-12-16","1836-12-01","1876-12-16",TRUE
"969",969,"1848-1855","https://gallica.bnf.fr/ark:/12148/cb32802279b/date","Paris","Le Journal pour rire ",222,"cb32802279b",1548,"1851-10-03","1855-12-29","1851-10-03","1855-12-29",TRUE
"977",977,"1899-1944","https://gallica.bnf.fr/ark:/12148/cb32830550k/date","Rennes","L'Ouest Éclair ",16216,"cb32830550k",16435,"1899-08-02","1944-08-01","1899-08-02","1944-08-01",TRUE
"988",988,"1895-1926","https://gallica.bnf.fr/ark:/12148/cb328337756/date","Marseille","La Patria italiana ",237,"cb328337756",1624,"1922-01-01","1926-06-13","1922-01-01","1926-06-13",TRUE
"989",989,"1841-1937","https://gallica.bnf.fr/ark:/12148/cb32833792s/date","Paris","La Patrie ",29677,"cb32833792s",35211,"1841-01-01","1937-05-29","1841-01-01","1937-05-29",TRUE
"1012",1012,"1848-1849","https://gallica.bnf.fr/ark:/12148/cb328387355/date","Paris","Le Peuple ",562,"cb328387355",1063,"1847-11-15","1850-10-13","1847-11-15","1850-10-13",TRUE
"1037",1037,"1831-1841","https://gallica.bnf.fr/ark:/12148/cb328590456/date","Bourges","Revue du Cher ",311,"cb328590456",1099,"1831-04-29","1834-05-02","1831-04-29","1834-05-02",TRUE
"1051",1051,"1873-1884","https://gallica.bnf.fr/ark:/12148/cb328625782/date","Marseille","Le Roman ",848,"cb328625782",3285,"1875-01-02","1883","1875-01-02","1883-12-31",TRUE
"1070",1070,"1931-1932","https://gallica.bnf.fr/ark:/12148/cb32873555v/date","Chabanais","Le Sud Confolentais ",76,"cb32873555v",532,"1931-05-10","1932-10-23","1931-05-10","1932-10-23",TRUE
"1071",1071,"1926-1939","https://gallica.bnf.fr/ark:/12148/cb32875481m/date","Avignon","Les Tablettes d'Avignon et de Provence ",704,"cb32875481m",4931,"1926-02-25","1939-08-27","1926-02-25","1939-08-27",TRUE
"1094",1094,"1847-1883","https://gallica.bnf.fr/ark:/12148/cb32882940w/date","Paris","L'Union ",13377,"cb32882940w",13367,"1847-02-07","1883-09-13","1847-02-07","1883-09-13",TRUE
"1140",1140,"1894-1898","https://gallica.bnf.fr/ark:/12148/cb32892677m/date","Saintes","Le Vrai peuple ",540,"cb32892677m",1386,"1894-11-01","1898-08-18","1894-11-01","1898-08-18",TRUE
"1161",1161,"1910","https://gallica.bnf.fr/ark:/12148/cb34360662w/date","Marseille","L'École émancipée ",2957,"cb34360662w",10606,"1910-10-01","1939-10-15","1910-10-01","1939-10-15",TRUE
"1221",1221,"1941-1944","https://gallica.bnf.fr/ark:/12148/cb344249981/date","Paris","Pariser Zeitung ",1126,"cb344249981",1319,"1941","1944-08-12","1941-01-01","1944-08-12",TRUE
"1279",1279,"1826-1834","https://gallica.bnf.fr/ark:/12148/cb344484501/date","Paris, Paris","Le Figaro ",3262,"cb344484501",3256,"1826-01","1834-12-01","1826-01-01","1834-12-01",TRUE
"1320",1320,"1892-1944","https://gallica.bnf.fr/ark:/12148/cb34473289x/date","Paris","Le Journal ",18752,"cb34473289x",18882,"1892-09-28","1944-06-10","1892-09-28","1944-06-10",TRUE
"1336",1336,"1860-1896","https://gallica.bnf.fr/ark:/12148/cb345202222/date","Paris","Le Monde ",11834,"cb345202222",13385,"1860-02-18","1896-10-11","1860-02-18","1896-10-11",TRUE
"1338",1338,"1867-1919","https://gallica.bnf.fr/ark:/12148/cb34520232c/date","Paris","L'Univers ",16906,"cb34520232c",19129,"1867-04-16","1919-08-31","1867-04-16","1919-08-31",TRUE
"1351",1351,"1912-1961","https://gallica.bnf.fr/ark:/12148/cb327596899/date","Alger","L'Echo d'Alger ",13653,"cb327596899",14169,"1912-03-16","1950-12-31","1912-03-16","1950-12-31",TRUE
"1375",1375,"1940-1948","https://gallica.bnf.fr/ark:/12148/cb32895629g/date","Londres, Londres","France ",1288,"cb32895629g",1515,"1940-08-26","1944-10-19","1940-08-26","1944-10-19",TRUE
"1382",1382,"1882-1985","https://gallica.bnf.fr/ark:/12148/cb343512457/date","Paris","Bulletin municipal officiel de la Ville de Paris",24278,"cb343512457",31976,"1882-07-12","1970-01-28","1882-07-12","1970-01-28",TRUE
"1394",1394,"1762-1792","https://gallica.bnf.fr/ark:/12148/cb41265434t/date","Paris, Paris","Gazette de France ",3063,"cb41265434t",11184,"1762-01-01","1792-08-15","1762-01-01","1792-08-15",TRUE
"1410",1410,"1937-1953","https://gallica.bnf.fr/ark:/12148/cb32738400h/date","Paris","Ce soir ",2864,"cb32738400h",5051,"1937-03-02","1950-12-30","1937-03-02","1950-12-30",TRUE
"1417",1417,"1926-1929","https://gallica.bnf.fr/ark:/12148/cb32766225f/date","Strasbourg","'S Elsass  ",241,"cb32766225f",896,"1926-10-16","1929-03-30","1926-10-16","1929-03-30",TRUE
"1420",1420,"1900","https://gallica.bnf.fr/ark:/12148/cb328263310/date","Alger","Les Nouvelles ",9437,"cb328263310",10921,"1902-01-01","1931-11-26","1902-01-01","1931-11-26",TRUE
"1438",1438,"1819-1851","https://gallica.bnf.fr/ark:/12148/cb32749956z/date","Paris","Le Courrier ",9654,"cb32749956z",11579,"1819-07-01","1851-03-14","1819-07-01","1851-03-14",TRUE
"1440",1440,"1880-1944","https://gallica.bnf.fr/ark:/12148/cb32836500g/date","Havre","Le Petit Havre ",2191,"cb32836500g",2190,"1914-01-01","1919-12-31","1914-01-01","1919-12-31",TRUE
"1451",1451,"1886-1913","https://gallica.bnf.fr/ark:/12148/cb32755419m/date","Bône","La Démocratie algérienne ",3085,"cb32755419m",4501,"1895-01-01","1907-04-30","1895-01-01","1907-04-30",TRUE
"1460",1460,"1901-1919","https://gallica.bnf.fr/ark:/12148/cb328338028/date","Saint Denis","La Patrie créole ",2035,"cb328338028",5407,"1901-06-26","1916-04-15","1901-06-26","1916-04-15",TRUE
"1461",1461,"1849-1914","https://gallica.bnf.fr/ark:/12148/cb328343740/date","Paris","Le Pays ",20819,"cb328343740",23936,"1849-01-01","1914-07-16","1849-01-01","1914-07-16",TRUE
"1468",1468,"1906-190.","https://gallica.bnf.fr/ark:/12148/cb32786089j/date","Le Havre","Havre éclair illustré ",85,"cb32786089j",588,"1906-07-01","1908-02-09","1906-07-01","1908-02-09",TRUE
"1477",1477,"1866-1914","https://gallica.bnf.fr/ark:/12148/cb32837965d/date","Paris","La Petite presse ",14583,"cb32837965d",17622,"1866-04-16","1914-07-16","1866-04-16","1914-07-16",TRUE
"1489",1489,"1864-1962","https://gallica.bnf.fr/ark:/12148/cb32876600k/date","Blidah","Le Tell ",5033,"cb32876600k",21546,"1892-01-02","1950-12-30","1892-01-02","1950-12-30",TRUE
"1491",1491,"1892-1904","https://gallica.bnf.fr/ark:/12148/cb32887169m/date","Paris","Le Vélo ",4673,"cb32887169m",4371,"1892-12-01","1904-11-20","1892-12-01","1904-11-20",TRUE
"1495",1495,"1880-1968","https://gallica.bnf.fr/ark:/12148/cb343631418/date","Paris","La Croix ",22204,"cb343631418",25475,"1880-04-01","1949-12-31","1880-04-01","1949-12-31",TRUE
"1501",1501,"1944-1948","https://gallica.bnf.fr/ark:/12148/cb44498563s/date","Paris","France libre ",1190,"cb44498563s",1470,"1944-06-25","1948-07-04","1944-06-25","1948-07-04",TRUE
"1508",1508,"1889-1968","https://gallica.bnf.fr/ark:/12148/cb32753198f/date","Lille","La Croix du Nord ",11873,"cb32753198f",15765,"1907-11-01","1950-12-30","1907-11-01","1950-12-30",TRUE
"1512",1512,"1898-1909","https://gallica.bnf.fr/ark:/12148/cb32797753x/date","Saint Denis","Le Journal de l'île de La Réunion ",1622,"cb32797753x",3038,"1899-01-01","1907-04-28","1899-01-01","1907-04-28",TRUE
"1515",1515,"1877-1938","https://gallica.bnf.fr/ark:/12148/cb328051026/date","Paris","La Lanterne ",22365,"cb328051026",18872,"1877-04-21","1928-12-22","1877-04-21","1928-12-22",TRUE
"1516",1516,"1884","https://gallica.bnf.fr/ark:/12148/cb32805115j/date","Bordj Menaïel, Alger","La Lanterne algérienne",135,"cb32805115j",926,"1884-04-25","1886-11-07","1884-04-25","1886-11-07",TRUE
"1517",1517,"1904","https://gallica.bnf.fr/ark:/12148/cb328064686/date","Alger","Le Libéral",201,"cb328064686",752,"1904-06-08","1906-06-30","1904-06-08","1906-06-30",TRUE
"1518",1518,"1906-1914","https://gallica.bnf.fr/ark:/12148/cb32806487g/date","Oran","Le Libéral",2071,"cb32806487g",3161,"1906-01-16","1914-09-12","1906-01-16","1914-09-12",TRUE
"1530",1530,"1847-1848","https://gallica.bnf.fr/ark:/12148/cb32851932d/date","Paris","Le Représentant du peuple ",347,"cb32851932d",956,"1847-10-01","1850-05-14","1847-10-01","1850-05-14",TRUE
"1532",1532,"19??-1944","https://gallica.bnf.fr/ark:/12148/cb328721069/date","S. l.","Les Sports du Nord",1448,"cb328721069",6733,"1926-03-28","1944-09-02","1926-03-28","1944-09-02",TRUE
"1542",1542,"1893-1894","https://gallica.bnf.fr/ark:/12148/cb326835202/date","Alger","L'Afrique militaire ",138,"cb326835202",487,"1893-02-12","1894-06-14","1893-02-12","1894-06-14",TRUE
"1544",1544,"1843-1846","https://gallica.bnf.fr/ark:/12148/cb32685421m/date","Paris","L'Algérie ",179,"cb32685421m",948,"1843-12-02","1846-07-07","1843-12-02","1846-07-07",TRUE
"1560",1560,"1893-1894","https://gallica.bnf.fr/ark:/12148/cb32731781g/date","Lyon","Bulletin officiel de l'Exposition de Lyon ",98,"cb32731781g",679,"1893-02-16","1894-12-27","1893-02-16","1894-12-27",TRUE
"1561",1561,"1914-1939","https://gallica.bnf.fr/ark:/12148/cb32731042n/date","Paris, Verdun","Bulletin meusien ",1656,"cb32731042n",9060,"1914-11-05","1939-08-26","1914-11-05","1939-08-26",TRUE
"1586",1586,"1893","https://gallica.bnf.fr/ark:/12148/cb32881032j/date","Mostaganem","Tribune de Mostaganem",258,"cb32881032j",1441,"1897-01-02","1900-12-14","1897-01-02","1900-12-14",TRUE
"1606",1606,"1876-1940","https://gallica.bnf.fr/ark:/12148/cb41473216d/date","Versailles, Paris, Paris, Paris","Impressions ",14443,"cb41473216d",23316,"1876-03-08","1940-01-09","1876-03-08","1940-01-09",TRUE
"1608",1608,"1856-1941","https://gallica.bnf.fr/ark:/12148/cb32750594f/date","La Rochelle","Le Courrier de la Rochelle ",7084,"cb32750594f",23740,"1856-12-31","1921-12-31","1856-12-31","1921-12-31",TRUE
"1615",1615,"1869-1882","https://gallica.bnf.fr/ark:/12148/cb32832578f/date","Paris","Paris journal ",936,"cb32832578f",1125,"1869-12-02","1872-12-31","1869-12-02","1872-12-31",TRUE
"1616",1616,"1902-1939","https://gallica.bnf.fr/ark:/12148/cb32837115n/date","Oran","Le Petit Oranais ",9925,"cb32837115n",13401,"1902-12-01","1939-08-10","1902-12-01","1939-08-10",TRUE
"1618",1618,"1879-1944","https://gallica.bnf.fr/ark:/12148/cb32847191z/date","Marseille","Le Radical de Marseille",3630,"cb32847191z",3876,"1934-01-01","1944-08-12","1934-01-01","1944-08-12",TRUE
"1623",1623,"1885","https://gallica.bnf.fr/ark:/12148/cb326846855/date","Mostaganem","L'Aïn Sefra",1463,"cb326846855",8027,"1893-01-01","1914-12-25","1893-01-01","1914-12-25",TRUE
"1626",1626,"1905-1905","https://gallica.bnf.fr/ark:/12148/cb32708258n/date","Oran","L'Avenir de l'Oranie",482,"cb32708258n",1093,"1903-01-01","1905-12-29","1903-01-01","1905-12-29",TRUE
"1627",1627,"1888","https://gallica.bnf.fr/ark:/12148/cb327109325/date","Bel Abbès","Le Bel Abbèsien",862,"cb327109325",2217,"1888-11-17","1894-12-13","1888-11-17","1894-12-13",TRUE
"1633",1633,"1824-1832","https://gallica.bnf.fr/ark:/12148/cb327828335/date","Paris","Le Globe ",2260,"cb327828335",2787,"1824-09-02","1832-04-20","1824-09-02","1832-04-20",TRUE
"1636",1636,"1926-1947","https://gallica.bnf.fr/ark:/12148/cb328013859/date","Alger","Le Journal général des travaux publics et du bâtiment ",1779,"cb328013859",3892,"1926","1936-08-28","1926-01-01","1936-08-28",TRUE
"1639",1639,"1901-1914","https://gallica.bnf.fr/ark:/12148/cb328098770/date","Livry","La Lutte sociale de Seine et",963,"cb328098770",4886,"1901-03-16","1914-08-01","1901-03-16","1914-08-01",TRUE
"1641",1641,"1885-1888","https://gallica.bnf.fr/ark:/12148/cb32811213c/date","Cherbourg","La Manche illustrée",59,"cb32811213c",409,"1887-01-20","1888-03-04","1887-01-20","1888-03-04",TRUE
"1663",1663,"1854","https://gallica.bnf.fr/ark:/12148/cb34355551z/date","Paris","Le Figaro ",30751,"cb34355551z",35335,"1854-04-02","1950-12-30","1854-04-02","1950-12-30",TRUE
"1681",1681,"1913-19??","https://gallica.bnf.fr/ark:/12148/cb34542092k/date","Oran","L'Echo sportif de l'Afrique du Nord ",287,"cb34542092k",2002,"1929-01-04","1934-06-29","1929-01-04","1934-06-29",TRUE
"1682",1682,"1920-1939","https://gallica.bnf.fr/ark:/12148/cb38728672j/date","Paris","Le Miroir des sports ",1043,"cb38728672j",6991,"1920-07-08","1939-08-29","1920-07-08","1939-08-29",TRUE
"1685",1685,"1892-1926","https://gallica.bnf.fr/ark:/12148/cb450221219/date","Alger","Journal général de l'Algérie et de la Tunisie ",5239,"cb450221219",12098,"1892-11-15","1925-12-31","1892-11-15","1925-12-31",TRUE
"1688",1688,"1877-1880","https://gallica.bnf.fr/ark:/12148/cb32680602p/date","Angers","L'Abeille ",210,"cb32680602p",1155,"1877-02-03","1880-04-03","1877-02-03","1880-04-03",TRUE
"1700",1700,"1908-19..","https://gallica.bnf.fr/ark:/12148/cb32682874k/date","Paris","L'Aéro ",2039,"cb32682874k",11600,"1908-09-03","1940-06-07","1908-09-03","1940-06-07",TRUE
